Recipient Name,Award Amount,Careers Search
DAVIS FARR LLP,1529307.0,https://www.google.com/search?q=DAVIS%20FARR%20LLP%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"NOVAK BIRCH, INC",1493810.4,https://www.google.com/search?q=NOVAK%20BIRCH%2C%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"KONIAG SERVICES, INC.",1428566.76,https://www.google.com/search?q=KONIAG%20SERVICES%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
FOR PEOPLE LLC,1190030.6,https://www.google.com/search?q=FOR%20PEOPLE%20LLC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
AMERICAN TECHNOLOGY SOLUTIONS INTERNATIONAL CORP,1165605.97,https://www.google.com/search?q=AMERICAN%20TECHNOLOGY%20SOLUTIONS%20INTERNATIONAL%20CORP%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"FU ASSOCIATES, LTD.",1049163.18,https://www.google.com/search?q=FU%20ASSOCIATES%2C%20LTD.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"ABM FEDERAL SALES, INC.",1001605.5,https://www.google.com/search?q=ABM%20FEDERAL%20SALES%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
"A1M SOLUTIONS, INC.",999999.34,https://www.google.com/search?q=A1M%20SOLUTIONS%2C%20INC.%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
YALE NEW HAVEN HEALTH SERVICES CORPORATION,901307.0,https://www.google.com/search?q=YALE%20NEW%20HAVEN%20HEALTH%20SERVICES%20CORPORATION%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
COVENTBRIDGE USA INC,864642.69,https://www.google.com/search?q=COVENTBRIDGE%20USA%20INC%20careers%20OR%20jobs%20site%3Agreenhouse.io%20OR%20site%3Alever.co%20OR%20site%3Aworkday.com
